               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.035268,           0.0047146,           0.0019356,             0.10503,             0.99572,                   1,               0.995,             0.79765,            0.019915,           0.0031523,          0.00066793,            0.096829,           0.0098774,           0.0098774,           0.0098774
                  81,            0.035492,           0.0047283,           0.0021568,              0.1052,             0.99085,                   1,             0.99488,              0.7423,            0.021549,           0.0032025,          0.00061485,            0.094187,           0.0098743,           0.0098743,           0.0098743
                  82,             0.03551,           0.0046925,           0.0021274,             0.10319,             0.99311,              0.9959,             0.99463,             0.78501,            0.020595,           0.0031826,          0.00068728,            0.092204,           0.0098712,           0.0098712,           0.0098712
                  83,            0.035348,           0.0046177,           0.0024885,             0.10409,             0.99671,             0.99999,               0.995,             0.73053,            0.021306,            0.003149,          0.00082178,            0.095221,            0.009868,            0.009868,            0.009868
                  84,            0.035023,            0.004736,           0.0024417,             0.10491,              0.9981,             0.99485,             0.99498,             0.72533,            0.021963,           0.0032495,          0.00075705,            0.096304,           0.0098648,           0.0098648,           0.0098648
                  85,            0.034746,           0.0047288,           0.0018289,             0.10349,             0.99505,                   1,               0.995,             0.79426,            0.019679,           0.0031334,          0.00052876,            0.095704,           0.0098615,           0.0098615,           0.0098615
                  86,             0.03527,           0.0046903,           0.0019289,             0.10341,             0.99595,             0.99719,              0.9947,             0.78478,            0.019855,           0.0031962,          0.00059769,            0.093403,           0.0098582,           0.0098582,           0.0098582
                  87,            0.035073,           0.0047424,           0.0018156,             0.10338,             0.99559,             0.99989,             0.99498,              0.7973,            0.018931,           0.0031624,          0.00059995,            0.093207,           0.0098549,           0.0098549,           0.0098549
                  88,            0.035388,           0.0047166,           0.0022259,             0.10194,             0.99147,             0.99293,             0.99382,             0.79047,            0.019838,           0.0031461,           0.0014623,            0.092621,           0.0098515,           0.0098515,           0.0098515
                  89,            0.034889,           0.0047667,            0.002246,             0.10408,             0.99863,                   1,               0.995,             0.78676,            0.019262,           0.0031295,          0.00057382,            0.094059,           0.0098481,           0.0098481,           0.0098481
                  90,            0.035058,           0.0045563,           0.0019884,             0.10202,             0.99569,             0.99608,             0.99497,             0.79699,            0.019167,           0.0031137,          0.00065933,            0.093159,           0.0098447,           0.0098447,           0.0098447
                  91,            0.035221,           0.0046737,           0.0020755,             0.10058,             0.99011,             0.99156,             0.99481,             0.77055,             0.01972,           0.0031992,          0.00098376,            0.092263,           0.0098412,           0.0098412,           0.0098412
                  92,            0.035165,           0.0046747,           0.0020288,            0.099452,             0.99878,             0.99941,               0.995,             0.80679,            0.018821,           0.0031375,           0.0004442,            0.090933,           0.0098376,           0.0098376,           0.0098376
                  93,            0.035168,           0.0047582,           0.0021107,             0.10165,             0.99719,             0.99701,               0.995,             0.79969,            0.019035,           0.0031302,          0.00075555,            0.092555,           0.0098341,           0.0098341,           0.0098341
                  94,            0.035429,           0.0047561,            0.001859,             0.10094,             0.99686,             0.99951,               0.995,             0.76667,            0.019171,           0.0031305,          0.00048837,            0.093546,           0.0098305,           0.0098305,           0.0098305
                  95,            0.035048,            0.004744,           0.0024033,             0.10026,             0.99897,                   1,               0.995,             0.80034,            0.018976,           0.0031456,          0.00056267,            0.092179,           0.0098268,           0.0098268,           0.0098268
